Index,Epoch Info,Loss
0,0-0/20565,31.4302
1,0-50/20565,9.2759
2,0-100/20565,6.5193
3,0-150/20565,5.2038
4,0-200/20565,7.9894
5,0-250/20565,6.0901
6,0-300/20565,6.1345
7,0-350/20565,5.0508
8,0-400/20565,5.6330
9,0-450/20565,4.7485
10,0-500/20565,5.3719
11,0-550/20565,4.5599
12,0-600/20565,6.5774
13,0-650/20565,6.4295
14,0-700/20565,6.2110
15,0-750/20565,4.2212
16,0-800/20565,5.4240
17,0-850/20565,5.8609
18,0-900/20565,5.4905
19,0-950/20565,5.5592
20,0-1000/20565,4.0974
21,0-1050/20565,5.9314
22,0-1100/20565,4.6718
23,0-1150/20565,4.7653
24,0-1200/20565,5.1380
25,0-1250/20565,4.7262
26,0-1300/20565,5.6948
27,0-1350/20565,3.1120
28,0-1400/20565,4.4061
29,0-1450/20565,3.6114
30,0-1500/20565,3.0203
31,0-1550/20565,3.3417
32,0-1600/20565,5.1598
33,0-1650/20565,3.7493
34,0-1700/20565,2.7157
35,0-1750/20565,5.9312
36,0-1800/20565,3.9696
37,0-1850/20565,4.5027
38,0-1900/20565,3.0101
39,0-1950/20565,3.8999
40,0-2000/20565,4.5451
41,0-2050/20565,4.3866
42,0-2100/20565,4.1993
43,0-2150/20565,3.1765
44,0-2200/20565,5.1422
45,0-2250/20565,3.6020
46,0-2300/20565,4.0502
47,0-2350/20565,3.5314
48,0-2400/20565,5.6941
49,0-2450/20565,4.8306
50,0-2500/20565,5.1669
51,0-2550/20565,2.7313
52,0-2600/20565,3.5470
53,0-2650/20565,3.7518
54,0-2700/20565,4.4849
55,0-2750/20565,4.2344
56,0-2800/20565,3.8588
57,0-2850/20565,2.9846
58,0-2900/20565,4.3863
59,0-2950/20565,4.5338
60,0-3000/20565,5.4229
61,0-3050/20565,4.3630
62,0-3100/20565,4.8445
63,0-3150/20565,3.7663
64,0-3200/20565,4.3308
65,0-3250/20565,3.3175
66,0-3300/20565,3.8342
67,0-3350/20565,5.1883
68,0-3400/20565,4.7419
69,0-3450/20565,3.6210
70,0-3500/20565,5.5758
71,0-3550/20565,3.5215
72,0-3600/20565,4.0928
73,0-3650/20565,3.3218
74,0-3700/20565,4.2350
75,0-3750/20565,3.4398
76,0-3800/20565,4.1640
77,0-3850/20565,3.7458
78,0-3900/20565,4.0737
79,0-3950/20565,3.4781
80,0-4000/20565,4.8548
81,0-4050/20565,3.0521
82,0-4100/20565,4.0842
83,0-4150/20565,2.9424
84,0-4200/20565,3.5605
85,0-4250/20565,4.7625
86,0-4300/20565,4.7460
87,0-4350/20565,4.6098
88,0-4400/20565,4.4571
89,0-4450/20565,6.6851
90,0-4500/20565,3.1077
91,0-4550/20565,4.5629
92,0-4600/20565,5.6189
93,0-4650/20565,4.2848
94,0-4700/20565,3.0242
95,0-4750/20565,4.6282
96,0-4800/20565,3.1203
97,0-4850/20565,3.0900
98,0-4900/20565,4.1675
99,0-4950/20565,2.9139
100,0-5000/20565,3.5097
101,0-5050/20565,4.3775
102,0-5100/20565,3.5223
103,0-5150/20565,4.0210
104,0-5200/20565,4.3716
105,0-5250/20565,4.0961
106,0-5300/20565,5.1659
107,0-5350/20565,3.9076
108,0-5400/20565,4.5923
109,0-5450/20565,3.8982
110,0-5500/20565,3.2212
111,0-5550/20565,3.2258
112,0-5600/20565,2.6472
113,0-5650/20565,3.0022
114,0-5700/20565,4.2132
115,0-5750/20565,3.8800
116,0-5800/20565,3.3023
117,0-5850/20565,4.5416
118,0-5900/20565,4.4764
119,0-5950/20565,2.4005
120,0-6000/20565,4.3523
121,0-6050/20565,4.1171
122,0-6100/20565,4.5583
123,0-6150/20565,3.7852
124,0-6200/20565,4.5072
125,0-6250/20565,3.1737
126,0-6300/20565,4.1494
127,0-6350/20565,4.4646
128,0-6400/20565,2.9390
129,0-6450/20565,3.4460
130,0-6500/20565,3.3714
131,0-6550/20565,4.3160
132,0-6600/20565,3.5455
133,0-6650/20565,3.1329
134,0-6700/20565,3.7660
135,0-6750/20565,2.9075
136,0-6800/20565,3.2530
137,0-6850/20565,3.9800
138,0-6900/20565,4.4923
139,0-6950/20565,2.6618
140,0-7000/20565,4.0008
141,0-7050/20565,3.3958
142,0-7100/20565,3.6814
143,0-7150/20565,3.4504
144,0-7200/20565,3.3151
145,0-7250/20565,4.2354
146,0-7300/20565,3.6689
147,0-7350/20565,4.4559
148,0-7400/20565,4.1565
149,0-7450/20565,3.4676
150,0-7500/20565,3.9880
151,0-7550/20565,3.9599
152,0-7600/20565,2.3076
153,0-7650/20565,3.1764
154,0-7700/20565,3.5234
155,0-7750/20565,3.4081
156,0-7800/20565,4.8374
157,0-7850/20565,3.9608
158,0-7900/20565,4.0816
159,0-7950/20565,4.3882
160,0-8000/20565,2.8084
161,0-8050/20565,2.7692
162,0-8100/20565,3.1891
163,0-8150/20565,2.8852
164,0-8200/20565,4.1145
165,0-8250/20565,2.4708
166,0-8300/20565,4.5366
167,0-8350/20565,3.7401
168,0-8400/20565,5.5846
169,0-8450/20565,3.3132
170,0-8500/20565,3.6409
171,0-8550/20565,3.4564
